## MB CDI: WGs

# Note: no stress, alternates (/) on separate lines, phrases on same line, shh removed

Children
Word      	Length    	PS1       	PS2       	PS3       	PS4       	PS5       	PS6       	PS7       	PS8       	PS9       	PS10      	PS11      	PS12      	PS13      	PS14      	PS15      	PS16      	PS sum    	PS avg    	B1        	B2        	B3        	B4        	B5        	B6        	B7        	B8        	B9        	B10       	B11       	B12       	B13       	B14       	B15       	B sum     	B avg     	ND        	Neighbors 
salCiCa   	7         	0.058275  	0.24001   	0.078773  	0.009629  	0.057341  	0.007218  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.636297  	0.0909    	0.017186  	0.024084  	0.001692  	0.002291  	0.001793  	0.003979  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.051025  	0.008504  	0         	
soda      	4         	0.058275  	0.157271  	0.028468  	0.189762  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.433776  	0.108444  	0.010249  	0.003911  	0.007282  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.021442  	0.007147  	3         	sopa soga sofa 
ref4esko  	8         	0.032215  	0.148072  	0.007712  	0.05643   	0.096101  	0.01607   	0.014409  	0.210379  	--        	--        	--        	--        	--        	--        	--        	--        	0.58139   	0.072674  	0.013985  	0.000507  	0.000955  	0.013131  	0.003298  	0.000866  	0.01611   	--        	--        	--        	--        	--        	--        	--        	--        	0.048851  	0.006979  	0         	
sopa      	4         	0.058275  	0.157271  	0.030267  	0.189762  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.435575  	0.108894  	0.010249  	0.003855  	0.011401  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.025505  	0.008502  	4         	ropa kopa soga sofa 
to4tiLa   	7         	0.064761  	0.157271  	0.117979  	0.07204   	0.057341  	0.012806  	0.185051  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.66725   	0.095321  	0.015488  	0.024187  	0.012671  	0.013863  	0.009965  	0.010376  	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.08655   	0.014425  	1         	to4tita 
ubas      	4         	0.006818  	0.014938  	0.072185  	0.029895  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.123835  	0.030959  	0.000247  	0.002457  	0.005543  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.008247  	0.002749  	2         	uba bas 
a4etes    	6         	0.101366  	0.052715  	0.07349   	0.07204   	0.096101  	0.01607   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.411782  	0.06863   	0.005532  	0.010467  	0.003441  	0.014843  	0.003298  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.037581  	0.007516  	0         	
babe4o    	6         	0.079747  	0.24001   	0.048595  	0.119055  	0.160437  	0.143672  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.791517  	0.131919  	0.027546  	0.017944  	0.011422  	0.040049  	0.021248  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.11821   	0.023642  	2         	baxe4o bake4o 
botas     	5         	0.079747  	0.157271  	0.051006  	0.189762  	0.021509  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.499296  	0.099859  	0.0154    	0.006417  	0.017486  	0.004644  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.043947  	0.010987  	2         	bota bota4 
boton     	5         	0.079747  	0.157271  	0.051006  	0.122568  	0.076529  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.487121  	0.097424  	0.0154    	0.006417  	0.01097   	0.020617  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.053404  	0.013351  	1         	boto 
kalTetines	10        	0.135646  	0.24001   	0.078773  	0.015876  	0.096101  	0.052412  	0.055462  	0.063688  	0.063263  	0.126971  	--        	--        	--        	--        	--        	--        	0.928203  	0.09282   	0.056733  	0.024084  	0.000887  	0.004676  	0.005943  	0.012027  	0.009029  	0.011358  	0.023434  	--        	--        	--        	--        	--        	--        	0.14817   	0.016463  	0         	
kalTon    	6         	0.135646  	0.24001   	0.078773  	0.015876  	0.086982  	0.069389  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.626678  	0.104446  	0.056733  	0.024084  	0.000887  	0.001079  	0.0151    	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.097882  	0.019576  	0         	
Tjere     	5         	0.016524  	0.023754  	0.07349   	0.005287  	0.096101  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.215156  	0.043031  	0.002398  	0.018609  	0.002169  	0.001785  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.02496   	0.00624   	1         	Tjero 
koLa4     	5         	0.135646  	0.157271  	0.019693  	0.189762  	0.160437  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.66281   	0.132562  	0.042469  	0.001992  	0.007859  	0.071366  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.123685  	0.030921  	1         	kaLa4 
falda     	5         	0.026585  	0.24001   	0.078773  	0.029349  	0.172201  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.546918  	0.109384  	0.003638  	0.024084  	0.002284  	0.009599  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.039605  	0.009901  	1         	falta 
lentes    	6         	0.029934  	0.148072  	0.090652  	0.07204   	0.096101  	0.01607   	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.45287   	0.075478  	0.007915  	0.018219  	0.02692   	0.014843  	0.003298  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.071195  	0.014239  	0         	
paJal     	5         	0.112732  	0.24001   	0.012591  	0.189762  	0.040089  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.595184  	0.119037  	0.034335  	0.004696  	0.003615  	0.011952  	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	--        	0.054597  	0.013649  	0         	
pantalon  	8         	0.112732  	0.24001   	0.090652  	0.07204   	0.172201  	0.037877  	0.15296   	0.063688  	--        	--        	--        	--        	--        	--        	--        	--        	0.94216   	0.11777   	0.034335  	0.025624  	0.02692   	0.0387    	0.012151  	0.010618  	0.025851  	--        	--        	--        	--        	--        	--        	--        	--        	0.1742    	0.024886  	0         	
